,red,blue,green,scaled_red,scaled_blue,scaled_green
138,178,76,78,2.391225,0.910655,1.09433
139,178,80,78,2.391225,0.958584,1.09433
140,181,83,76,2.431526,0.994531,1.066271
141,187,80,74,2.512129,0.958584,1.038211
142,191,73,73,2.565865,0.874708,1.024181
143,189,71,74,2.538997,0.850743,1.038211
144,181,73,78,2.431526,0.874708,1.09433
145,172,78,81,2.310622,0.934619,1.13642
146,173,77,79,2.324056,0.922637,1.10836
147,179,71,76,2.404659,0.850743,1.066271
148,190,72,75,2.552431,0.862725,1.052241
149,188,71,69,2.525563,0.850743,0.968061
150,184,77,71,2.471828,0.922637,0.996121
151,180,83,76,2.418093,0.994531,1.066271
152,181,85,82,2.431526,1.018495,1.15045
153,170,71,75,2.283754,0.850743,1.052241
154,175,76,77,2.350923,0.910655,1.0803
155,173,74,78,2.324056,0.88669,1.09433
156,172,72,79,2.310622,0.862725,1.10836
157,170,72,80,2.283754,0.862725,1.12239
158,173,74,78,2.324056,0.88669,1.09433
159,178,76,75,2.391225,0.910655,1.052241
160,182,79,73,2.44496,0.946601,1.024181
161,186,79,70,2.498696,0.946601,0.982091
162,192,80,77,2.579299,0.958584,1.0803
163,180,62,65,2.418093,0.742902,0.911942
164,183,60,71,2.458394,0.718938,0.996121
165,192,69,85,2.579299,0.826778,1.192539
166,183,64,77,2.458394,0.766867,1.0803
167,179,70,74,2.404659,0.838761,1.038211
168,183,80,74,2.458394,0.958584,1.038211
169,183,85,71,2.458394,1.018495,0.996121
170,176,79,81,2.364357,0.946601,1.13642
171,182,76,76,2.44496,0.910655,1.066271
172,183,75,75,2.458394,0.898672,1.052241
173,178,81,74,2.391225,0.970566,1.038211
174,179,81,74,2.404659,0.970566,1.038211
175,193,75,70,2.592733,0.898672,0.982091
176,198,73,69,2.659902,0.874708,0.968061
177,178,84,79,2.391225,1.006513,1.10836
178,117,76,67,1.57176,0.910655,0.940002
179,19,9,0,0.255243,0.107841,0.0
180,1,11,0,0.013434,0.131805,0.0
181,30,81,61,0.403015,0.970566,0.855822
182,112,217,189,1.504591,2.600158,2.651646
183,88,233,194,1.182179,2.791875,2.721796
184,82,238,193,1.101575,2.851787,2.707766
185,93,241,199,1.249348,2.887733,2.791945
186,90,233,197,1.209046,2.791875,2.763885
187,87,233,202,1.168745,2.791875,2.834035
188,85,242,210,1.141877,2.899716,2.946274
189,83,245,207,1.115009,2.935663,2.904184
190,86,243,202,1.155311,2.911698,2.834035
191,86,235,193,1.155311,2.81584,2.707766
192,91,237,199,1.22248,2.839804,2.791945
193,93,241,207,1.249348,2.887733,2.904184
194,79,236,204,1.061274,2.827822,2.862095
195,73,235,203,0.980671,2.81584,2.848065
196,88,238,200,1.182179,2.851787,2.805975
197,92,237,198,1.235914,2.839804,2.777915
198,88,228,190,1.182179,2.731964,2.665676
199,86,225,193,1.155311,2.696017,2.707766
200,89,233,207,1.195612,2.791875,2.904184
201,82,227,204,1.101575,2.719981,2.862095
202,94,239,216,1.262782,2.863769,3.030453
203,88,229,207,1.182179,2.743946,2.904184
204,81,223,202,1.088142,2.672052,2.834035
205,74,222,200,0.994105,2.66007,2.805975
206,77,227,206,1.034406,2.719981,2.890154
207,73,220,193,0.980671,2.636105,2.707766
208,87,230,197,1.168745,2.755928,2.763885
209,98,241,205,1.316517,2.887733,2.876124
210,88,238,200,1.182179,2.851787,2.805975
211,80,237,200,1.074708,2.839804,2.805975
212,83,221,206,1.115009,2.648087,2.890154
213,84,228,204,1.128443,2.731964,2.862095
214,87,237,201,1.168745,2.839804,2.820005
215,87,240,200,1.168745,2.875751,2.805975
216,84,237,203,1.128443,2.839804,2.848065
217,81,228,206,1.088142,2.731964,2.890154
218,80,224,207,1.074708,2.684034,2.904184
219,81,226,206,1.088142,2.707999,2.890154
220,96,242,214,1.289649,2.899716,3.002393
221,81,222,188,1.088142,2.66007,2.637617
222,108,228,199,1.450856,2.731964,2.791945
223,100,184,167,1.343385,2.204743,2.342989
224,0,17,12,0.0,0.203699,0.168359
225,10,0,0,0.134338,0.0,0.0
226,95,34,35,1.276216,0.407398,0.491046
227,173,86,87,2.324056,1.030477,1.220599
228,211,79,75,2.834542,0.946601,1.052241
229,211,84,74,2.834542,1.006513,1.038211
230,213,86,73,2.861409,1.030477,1.024181
231,217,84,71,2.915145,1.006513,0.996121
232,221,77,70,2.96888,0.922637,0.982091
233,218,75,72,2.928579,0.898672,1.010151
234,213,79,74,2.861409,0.946601,1.038211
235,207,82,76,2.780806,0.982548,1.066271
236,212,84,77,2.847976,1.006513,1.0803
237,214,74,69,2.874843,0.88669,0.968061
238,226,78,73,3.03605,0.934619,1.024181
239,223,77,69,2.995748,0.922637,0.968061
240,221,83,71,2.96888,0.994531,0.996121
241,213,82,66,2.861409,0.982548,0.925972
242,218,84,74,2.928579,1.006513,1.038211
243,215,76,72,2.888277,0.910655,1.010151
244,213,76,73,2.861409,0.910655,1.024181
245,213,74,73,2.861409,0.88669,1.024181
246,212,72,74,2.847976,0.862725,1.038211
247,212,72,74,2.847976,0.862725,1.038211
248,213,74,73,2.861409,0.88669,1.024181
249,217,76,70,2.915145,0.910655,0.982091
250,220,80,68,2.955446,0.958584,0.954032
251,220,78,69,2.955446,0.934619,0.968061
252,223,78,74,2.995748,0.934619,1.038211
253,218,67,68,2.928579,0.802814,0.954032
254,223,65,72,2.995748,0.778849,1.010151
255,226,66,75,3.03605,0.790832,1.052241
256,216,63,72,2.901711,0.754885,1.010151
257,214,70,72,2.874843,0.838761,1.010151
258,220,81,73,2.955446,0.970566,1.024181
259,222,85,70,2.982314,1.018495,0.982091
260,213,84,76,2.861409,1.006513,1.066271
261,218,80,73,2.928579,0.958584,1.024181
262,218,81,71,2.928579,0.970566,0.996121
263,212,85,72,2.847976,1.018495,1.010151
264,210,87,72,2.821108,1.04246,1.010151
265,223,81,69,2.995748,0.970566,0.968061
266,226,76,69,3.03605,0.910655,0.968061
267,204,88,80,2.740505,1.054442,1.12239
268,150,90,78,2.015077,1.078407,1.09433
269,25,0,0,0.335846,0.0,0.0
270,8,12,2,0.107471,0.143788,0.02806
271,34,86,70,0.456751,1.030477,0.982091
272,102,218,192,1.370252,2.612141,2.693736
273,74,234,198,0.994105,2.803857,2.777915
274,65,240,196,0.8732,2.875751,2.749856
275,75,242,198,1.007539,2.899716,2.777915
276,75,236,197,1.007539,2.827822,2.763885
277,72,236,202,0.967237,2.827822,2.834035
278,64,237,204,0.859766,2.839804,2.862095
279,62,238,202,0.832899,2.851787,2.834035
280,65,238,196,0.8732,2.851787,2.749856
281,73,237,194,0.980671,2.839804,2.721796
282,78,237,197,1.04784,2.839804,2.763885
283,70,234,200,0.940369,2.803857,2.805975
284,61,237,206,0.819465,2.839804,2.890154
285,62,247,217,0.832899,2.959627,3.044483
286,70,238,199,0.940369,2.851787,2.791945
287,69,233,195,0.926935,2.791875,2.735826
288,75,233,199,1.007539,2.791875,2.791945
289,89,242,214,1.195612,2.899716,3.002393
290,82,231,208,1.101575,2.76791,2.918214
291,57,201,177,0.765729,2.408442,2.483288
292,63,201,174,0.846332,2.408442,2.441198
293,90,224,195,1.209046,2.684034,2.735826
294,106,243,216,1.423988,2.911698,3.030453
295,87,232,207,1.168745,2.779893,2.904184
296,82,235,207,1.101575,2.81584,2.904184
297,82,238,205,1.101575,2.851787,2.876124
298,84,239,200,1.128443,2.863769,2.805975
299,86,246,201,1.155311,2.947645,2.820005
300,71,245,197,0.953803,2.935663,2.763885
301,66,249,203,0.886634,2.983592,2.848065
302,72,229,207,0.967237,2.743946,2.904184
303,74,236,204,0.994105,2.827822,2.862095
304,74,243,203,0.994105,2.911698,2.848065
305,72,247,203,0.967237,2.959627,2.848065
306,69,242,206,0.926935,2.899716,2.890154
307,67,235,208,0.900068,2.81584,2.918214
308,65,229,210,0.8732,2.743946,2.946274
309,67,229,209,0.900068,2.743946,2.932244
310,75,237,211,1.007539,2.839804,2.960304
311,72,228,195,0.967237,2.731964,2.735826
312,100,232,206,1.343385,2.779893,2.890154
313,95,187,171,1.276216,2.240689,2.399109
314,0,18,13,0.0,0.215681,0.182388
315,15,0,0,0.201508,0.0,0.0
316,100,30,30,1.343385,0.359469,0.420896
317,185,87,85,2.485262,1.04246,1.192539
318,224,72,68,3.009182,0.862725,0.954032
319,223,78,67,2.995748,0.934619,0.940002
320,224,80,66,3.009182,0.958584,0.925972
321,227,78,65,3.049483,0.934619,0.911942
322,231,72,64,3.103219,0.862725,0.897912
323,230,71,65,3.089785,0.850743,0.911942
324,226,74,66,3.03605,0.88669,0.925972
325,224,78,67,3.009182,0.934619,0.940002
326,227,78,65,3.049483,0.934619,0.911942
327,230,71,63,3.089785,0.850743,0.883882
328,237,72,66,3.183822,0.862725,0.925972
